qtde_assentos,qtde_ocorr,perc_ocorr
6.0,1393,14.86
2.0,1218,12.99
4.0,1005,10.72
1.0,852,9.09
0.0,719,7.67
7.0,499,5.32
125.0,306,3.26
184.0,280,2.99
8.0,258,2.75
10.0,250,2.67
11.0,198,2.11
5.0,181,1.93
75.0,172,1.84
14.0,158,1.69
3.0,139,1.48
73.0,110,1.17
154.0,108,1.15
9.0,81,0.86
193.0,73,0.78
21.0,70,0.75
107.0,69,0.74
183.0,68,0.73
197.0,63,0.67
50.0,63,0.67
199.0,57,0.61
52.0,46,0.49
153.0,41,0.44
34.0,39,0.42
187.0,37,0.39
156.0,36,0.38
194.0,36,0.38
113.0,36,0.38
166.0,35,0.37
232.0,34,0.36
17.0,33,0.35
172.0,30,0.32
112.0,27,0.29
15.0,22,0.23
20.0,20,0.21
182.0,20,0.21
129.0,20,0.21
13.0,18,0.19
148.0,18,0.19
71.0,17,0.18
196.0,16,0.17
22.0,15,0.16
115.0,15,0.16
141.0,15,0.16
231.0,15,0.16
12.0,14,0.15
243.0,13,0.14
144.0,13,0.14
151.0,12,0.13
160.0,12,0.13
170.0,12,0.13
54.0,11,0.12
186.0,10,0.11
77.0,10,0.11
240.0,10,0.11
55.0,9,0.1
384.0,8,0.09
146.0,8,0.09
382.0,8,0.09
143.0,8,0.09
152.0,7,0.07
114.0,7,0.07
192.0,7,0.07
93.0,7,0.07
235.0,6,0.06
70.0,6,0.06
92.0,5,0.05
173.0,5,0.05
106.0,5,0.05
214.0,5,0.05
121.0,5,0.05
116.0,5,0.05
117.0,4,0.04
305.0,4,0.04
140.0,4,0.04
147.0,4,0.04
383.0,4,0.04
19.0,4,0.04
284.0,4,0.04
30.0,4,0.04
48.0,4,0.04
242.0,4,0.04
348.0,3,0.03
165.0,3,0.03
136.0,3,0.03
49.0,3,0.03
381.0,3,0.03
180.0,3,0.03
139.0,3,0.03
18.0,2,0.02
138.0,2,0.02
57.0,2,0.02
288.0,2,0.02
142.0,2,0.02
124.0,2,0.02
185.0,2,0.02
278.0,2,0.02
155.0,2,0.02
122.0,2,0.02
234.0,2,0.02
162.0,2,0.02
32.0,2,0.02
108.0,1,0.01
178.0,1,0.01
127.0,1,0.01
123.0,1,0.01
188.0,1,0.01
220.0,1,0.01
86.0,1,0.01
217.0,1,0.01
167.0,1,0.01
230.0,1,0.01
53.0,1,0.01
41.0,1,0.01
150.0,1,0.01
27.0,1,0.01
157.0,1,0.01
158.0,1,0.01
23.0,1,0.01
79.0,1,0.01
293.0,1,0.01
249.0,1,0.01
16.0,1,0.01
301.0,1,0.01
299.0,1,0.01
312.0,1,0.01
258.0,1,0.01
275.0,1,0.01
659.0,1,0.01
