dest_voo,qtde_ocorr,perc_ocorr
FORA DE AERODROMO,4268,43.47
NÃO IDENTIFICADO,251,2.56
GOVERNADOR ANDRÉ FRANCO MONTORO,220,2.24
CONGONHAS,188,1.91
VIRACOPOS,166,1.69
CAMPO DE MARTE - SP,152,1.55
PRESIDENTE JUSCELINO KUBITSCHEK,132,1.34
SANTOS DUMONT,109,1.11
SALGADO FILHO,102,1.04
GUARARAPES - GILBERTO FREYRE,99,1.01
TANCREDO NEVES,88,0.9
DEPUTADO LUÍS EDUARDO MAGALHÃES,85,0.87
SANTA GENOVEVA/GOIÂNIA,81,0.83
Comandante Rolim Adolfo Amaro,74,0.75
ANTONIO CARLOS JOBIM / GALEÃO,71,0.72
BACACHERI,69,0.7
MARECHAL RONDON,67,0.68
EDUARDO GOMES,66,0.67
AFONSO PENA,63,0.64
CARLOS DRUMMOND DE ANDRADE / PAMPULHA,63,0.64
GOVERNADOR JOSÉ RICHA,63,0.64
VAL DE CANS / JÚLIO CEZAR RIBEIRO,62,0.63
JACAREPAGUÁ,59,0.6
CAMPO GRANDE,54,0.55
PINTO MARTINS,54,0.55
ESTADUAL ARTHUR SIQUEIRA,53,0.54
HERCÍLIO LUZ,52,0.53
AERÓDROMO NACIONAL DE AVIAÇÃO,51,0.52
TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,48,0.49
AERÓDROMO NÃO CADASTRADO,48,0.49
CARLOS PRATES,44,0.45
SÍLVIO NAME JÚNIOR,44,0.45
ÁREA DE POUSO PARA USO AEROAGRÍCOLA,44,0.45
LEITE LOPES,42,0.43
EURICO DE AGUIAR SALLES,38,0.39
MINISTRO VICTOR KONDER,38,0.39
PROFESSOR URBANO ERNESTO STUMPF,32,0.33
FLORES,32,0.33
AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,30,0.31
SOROCABA,30,0.31
BRIGADEIRO LYSIAS RODRIGUES,29,0.3
SENADOR PETRÔNIO PORTELLA,28,0.29
PROFESSOR ERIBERTO MANOEL REINO,25,0.25
GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,24,0.24
MARECHAL CUNHA MACHADO,24,0.24
PRESIDENTE CASTRO PINTO,23,0.23
ADALBERTO MENDES DA SILVA,21,0.21
MAESTRO WILSON FONSECA,21,0.21
ZUMBI DOS PALMARES,20,0.2
BAURU,19,0.19
BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,19,0.19
PARÁ DE MINAS,19,0.19
JOÃO MONTEIRO,18,0.18
SANTA MARIA,18,0.18
ESTADUAL DARIO GUARITA,17,0.17
14 BIS,17,0.17
PORTO SEGURO,17,0.17
FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME,17,0.17
FRANCISCO DE ASSIS,17,0.17
CATARATAS,16,0.16
JOÃO CORREA DA ROCHA,16,0.16
ATLAS BRASIL CANTANHEDE,16,0.16
PLÁCIDO DE CASTRO,16,0.16
PEDRO MORGANTI,15,0.15
CABO FRIO,15,0.15
COMANDANTE ANTONIO AMILTON BERALDO,15,0.15
MÁRIO RIBEIRO,14,0.14
COSTA ESMERALDA,14,0.14
PREFEITO ORLANDO MARINHO,14,0.14
RONDONÓPOLIS,14,0.14
ORLANDO BEZERRA DE MENEZES,14,0.14
BLUMENAU,13,0.13
GENERAL LEITE DE CASTRO,13,0.13
LAURO KURTZ,13,0.13
ANÁPOLIS,13,0.13
ESTÂNCIA SANTA MARIA,13,0.13
ALBERTO ALCOLUMBRE,13,0.13
AMERICANA,13,0.13
CARAUARI,12,0.12
FORMOSA,12,0.12
BRIGADEIRO ARARIPE MACEDO,12,0.12
PRIMAVERA DO LESTE,12,0.12
LAURO CARNEIRO DE LOYOLA,12,0.12
CRUZEIRO DO SUL,12,0.12
AEROCLUBE DE ITÁPOLIS,11,0.11
SERAFIN ENOSS BERTASO,11,0.11
BOTELHO,11,0.11
CATULEVE,11,0.11
BAHIA - JORGE AMADO,11,0.11
ATIBAIA,10,0.1
PARATI,10,0.1
TERUEL IPANEMA ESTÂNCIA,10,0.1
ITAITUBA,10,0.1
CANELA,10,0.1
TERRAVISTA,10,0.1
AEROCLUBE DE ELDORADO DO SUL,10,0.1
ALTAMIRA,10,0.1
PRESIDENTE JOÃO SUASSUNA,10,0.1
AEROCLUBE DE SANTA CATARINA,10,0.1
SÃO TOMÉ,10,0.1
GOVERNADOR ALUÍZIO ALVES,10,0.1
PRESIDENTE JOÃO BATISTA FIGUEIREDO,10,0.1
GURUPI,9,0.09
BARTOLOMEU LISANDRO,9,0.09
FERNANDO DE NORONHA,9,0.09
BREVES,9,0.09
ANGRA DOS REIS,9,0.09
MÁRIO DE ALMEIDA FRANCO,9,0.09
AEROPORTO INTERNACIONAL DE SANTIAGO,9,0.09
MACAÉ,9,0.09
BELÉM NOVO,8,0.08
HELICENTRO BH,8,0.08
PRESIDENTE PRUDENTE,8,0.08
GASTÃO MADEIRA,8,0.08
MONTENEGRO,8,0.08
RIO CLARO,8,0.08
REGIONAL HUGO CANTERGIANI,8,0.08
BARREIRAS,8,0.08
ERECHIM,8,0.08
NOVO HAMBURGO,7,0.07
FRANK MILOYE MILENKOVICH,7,0.07
CORREIA PINTO,7,0.07
COROA DO AVIÃO,7,0.07
OSCAR LARANJEIRAS,7,0.07
JI-PARANÁ,7,0.07
FAZENDA IROHY,7,0.07
CARLOS RUHL,7,0.07
SANTO ANTÔNIO DE LEVERGER,7,0.07
ITANHAÉM,7,0.07
CARAJÁS,7,0.07
ARAPONGAS,7,0.07
VITÓRIA DA CONQUISTA,7,0.07
OLHOS D'ÁGUA,6,0.06
GUARATINGUETÁ,6,0.06
JACAREACANGA,6,0.06
SANTO ÂNGELO,6,0.06
PIRAQUARA,6,0.06
TATUÍ,6,0.06
MUNDICO COELHO,6,0.06
BRIGADEIRO CABRAL,6,0.06
REGIONAL DA ZONA DA MATA,6,0.06
PELOTAS,6,0.06
OURILÂNDIA DO NORTE,6,0.06
CORONEL ALTINO MACHADO,6,0.06
NOVO PROGRESSO,6,0.06
REDENÇÃO,5,0.05
JUARA SUL,5,0.05
BEBEDOURO,5,0.05
BARTOLOMEU DE GUSMÃO,5,0.05
DOMINGOS PIGNATARI,5,0.05
MUNICIPAL DE GUARATUBA,5,0.05
ASSOCIAÇÃO RECREATIVA FAZENDA BONANZA,5,0.05
BARRA GRANDE,5,0.05
RECREIO,5,0.05
RANCHO SUMIDOR,5,0.05
RUBEM BERTA,5,0.05
ARAGUAÍNA,5,0.05
CATANDUVA,5,0.05
CLUBE VOART,5,0.05
ARAGARÇAS,5,0.05
AEROCLUBE DE PASSO FUNDO,5,0.05
GERALDO GUIAS DE AQUINO,5,0.05
PONTA PORÃ,5,0.05
BORBA,5,0.05
CENTRO NACIONAL DE PÁRA-QUEDISMO,5,0.05
POUSO DA ÁGUIA,5,0.05
GEORGE BUSH INTERCONTINENTAL AIRPORT,5,0.05
TRES LAGOAS,5,0.05
PREFEITO RENATO MOREIRA,5,0.05
PREFEITO DOUTOR JOÃO SILVA FILHO,5,0.05
RESENDE,5,0.05
EMBAIXADOR WALTHER MOREIRA SALLES,5,0.05
LÁBREA,5,0.05
JOSÉ CLETO,5,0.05
JORGE CHÁVEZ INTERNATIONAL AIRPORT,5,0.05
PORTO URUCU,5,0.05
POUSO ALEGRE,5,0.05
SÃO FÉLIX DO XINGU,5,0.05
ASSOCIAÇÃO TOCANTINENSE DE AVIAÇÃO,4,0.04
BRIGADEIRO CAMARÃO,4,0.04
AEROLEVE AERÓDROMO PRIVADO,4,0.04
AEROPORTO HUMBERTO DELGADO,4,0.04
AEROPUERTO INTERNACIONAL MINISTRO PISTARINI,4,0.04
ROSADA,4,0.04
TABATINGA,4,0.04
SANTA ROSA,4,0.04
AEROPORTO REGIONAL DE SORRISO ADOLINO BEDIN,4,0.04
SENADOR NILO COELHO,4,0.04
SANTA ROSA DO PURUS,4,0.04
AEROPUERTO INTERNACIONAL EL DORADO,4,0.04
SEVERINO LOPES,4,0.04
AEROCLUBE DE BENTO GONÇALVES,4,0.04
CACHOEIRA DO SUL,4,0.04
QUIRINÓPOLIS,4,0.04
CARATINGA,4,0.04
REGIONAL SUL,4,0.04
ARARAS,4,0.04
CÁCERES,4,0.04
SÃO PAULO CATARINA AEROPORTO EXECUTIVO,4,0.04
LEME,4,0.04
HBR,4,0.04
CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,4,0.04
COMANDANTE GASTÃO,4,0.04
COARI,4,0.04
NELSON RODRIGUES GUIMARÃES,4,0.04
PIQUET,4,0.04
JATAÍ,4,0.04
CASA BRANCA,4,0.04
DOUTOR RAMALHO FRANCO,4,0.04
HORÁCIO DE MATTOS,4,0.04
J.C. PERALTA,4,0.04
CAVU - CLUBE DE AVIAÇÃO ULTRALEVE,4,0.04
HELICIDADE,4,0.04
EXTERIOR,4,0.04
CHAFEI AMSEI (SBBT*),4,0.04
FILIAL CAMPO FLORIDO,4,0.04
MAUÉS,4,0.04
MAJOR BRIGADEIRO TROMPOWSKY,4,0.04
COMANDANTE MUNIR DJABAK,4,0.04
TRÊS LAGOAS,4,0.04
OSÓRIO,3,0.03
PAUINI,3,0.03
CHARLES DE GAULLE,3,0.03
SÃO JOÃO DEL REI,3,0.03
IJUÍ,3,0.03
CLUBE DE VOO ITAIPU,3,0.03
CEARÁ-MIRIM,3,0.03
SÃO JOAQUIM DA BARRA,3,0.03
CACOAL,3,0.03
POUSADA DAS ÁGUIAS,3,0.03
TANCREDO DE ALMEIDA NEVES,3,0.03
IBITINGA,3,0.03
COMANDANTE CARLOS INÁCIO AGNES,3,0.03
CAMOCIM,3,0.03
PILOTO OSVALDO MARQUES DIAS,3,0.03
PORTO JOFRE,3,0.03
CENTENO,3,0.03
COXIM,3,0.03
VERA CRUZ/AEROCLUBE DA BAHIA,3,0.03
CORONEL ALEXANDRE RAPOSO,3,0.03
TORRES,3,0.03
CATALÃO,3,0.03
BASE DE AVIAÇÃO DE TAUBATÉ,3,0.03
CANARANA,3,0.03
SÃO BORJA,3,0.03
PORANGATU,3,0.03
DOUTOR LÚCIO LIMA,3,0.03
VIDE BULA,3,0.03
SURUCUCU,3,0.03
CURVELO,3,0.03
HELIBRÁS,3,0.03
CAP. PM CIDIMAR ANTUNES DE ALMEIDA,3,0.03
BARRA DO GARÇAS,3,0.03
BASE AÉREA DE SANTOS,3,0.03
DAS BANDEIRINHAS,3,0.03
PIQUIATUBA,3,0.03
FAZENDA DA PAZ,3,0.03
FONTE BOA,3,0.03
LUIZ GONZAGA LUTTI,3,0.03
FAZENDA AERO-AMIL,3,0.03
GUANAMBI,3,0.03
ESTÂNCIA RECANTO,3,0.03
JUVENAL LOUREIRO CARDOSO,3,0.03
ARIOSTO DA RIVA,3,0.03
AEROCLUBE DE RONDÔNIA,3,0.03
EFAI,3,0.03
MUNICIPAL DE GUAÍRA,3,0.03
JUSCELINO KUBITSCHECK,3,0.03
SIQUEIRA CAMPOS,3,0.03
EL DORADO,3,0.03
ESTÂNCIA MACHADO,3,0.03
JOÃO DURVAL CARNEIRO,3,0.03
JOSÉ MARTINS DA SILVA,3,0.03
MANUEL URBANO,3,0.03
EDU CHAVES,3,0.03
SÍTIO FLYER,3,0.03
LAVRAS,3,0.03
MONTE DOURADO,3,0.03
JÚLIO BÉLEM,3,0.03
DIX-SEPT ROSADO,3,0.03
MOJI MIRIM,3,0.03
ARAGUARI,3,0.03
FAZENDA MOSQUITO,3,0.03
MIRASSOL,3,0.03
JUÍNA,3,0.03
SÃO SEBASTIÃO DO PARAÍSO,3,0.03
FAZENDA SANTO AMBRÓSIO,3,0.03
AGROPASTORIL BOM PASTOR,3,0.03
FAZENDA SÃO JOÃO,3,0.03
MARECHAL THAUMATURGO,3,0.03
SANTA CRUZ DO SUL,3,0.03
NOVO CAMPO,2,0.02
TEIXEIRA DE FREITAS,2,0.02
PALMEIRAS DE GOIÁS,2,0.02
OURO FINO,2,0.02
TELÊMACO BORBA (SBTL*),2,0.02
TENENTE LUND PRESSOTO,2,0.02
MARICÁ,2,0.02
J LEM,2,0.02
MÁRIO PEREIRA LOPES,2,0.02
MUNICIPAL DE SÃO JOÃO DA BOA VISTA,2,0.02
MORRO DA URCA,2,0.02
MIAMI INTERNATIONAL AIRPORT,2,0.02
MAX FONTOURA,2,0.02
MAROUM,2,0.02
PATOS DE MINAS,2,0.02
FAZENDA BARRANCO ALTO,2,0.02
PICOS,2,0.02
FAZENDA CERRADÃO,2,0.02
MANTECORP,2,0.02
FAZENDA MURARÁ,2,0.02
FAZENDA IRMÃOS MUNARETTO,2,0.02
FAZENDA FORTALEZA DO GUAPORÉ,2,0.02
FAZENDA EUROPA,2,0.02
CARLOS ALBERTO DA COSTA NEVES,2,0.02
FAZENDA CAMPO VITÓRIA,2,0.02
NOSSA SENHORA DE FÁTIMA,2,0.02
FAZENDA CAMPINAS,2,0.02
UAICAS,2,0.02
ESTÂNCIA SANTA RITA,2,0.02
ESTÂNCIA HÉRCULES,2,0.02
ITAQUI,2,0.02
FAZENDA TRÊS IRMÃOS,2,0.02
MARCELO PIRES HALZHAUSEN,2,0.02
SANTA MAGALHÃES,2,0.02
LUIZ EDUARDO MAGALHÃES,2,0.02
ROMEU ZEMA,2,0.02
FAZENDA NOVA FLORESTA,2,0.02
JORDÃO,2,0.02
TIETÊ,2,0.02
JARDIM,2,0.02
JORGE NEWBERY AIRFIELD,2,0.02
LAGOA,2,0.02
ÓBIDOS,2,0.02
LORENZO,2,0.02
PISTA DE POUSO EVENTUAL,2,0.02
TANGARÁ DA SERRA,2,0.02
POCONÉ,2,0.02
PRAINHA,2,0.02
SÍTIO SANTA HELENA,2,0.02
REGIONAL ORLANDO VILLAS BOAS,2,0.02
ROSÁRIO DO SUL,2,0.02
LUIS EDUARDO MAGALHÃES,2,0.02
SANTA TEREZINHA,2,0.02
SEBASTIÃO GOMES DE SOUZA,2,0.02
SÃO SEBASTIÃO,2,0.02
SERRA DO CIPÓ,2,0.02
SERTANÓPOLIS,2,0.02
SÃO PEDRO,2,0.02
SÃO FÉLIX DO ARAGUAIA,2,0.02
SÃO GABRIEL,2,0.02
SÃO GABRIEL DA CACHOEIRA,2,0.02
SÃO JOSÉ,2,0.02
PIRENÓPOLIS,2,0.02
LAGOA DA PRATA,2,0.02
TARAUACÁ,2,0.02
PAULINO RIBEIRO DE ANDRADE,2,0.02
FAZENDA NOVA CONCEIÇÃO,2,0.02
BALSAS,2,0.02
FAZENDA PIRAGUASSU,2,0.02
ITACOATIARA,2,0.02
AEROCLUBE DE BAGÉ,2,0.02
AEROCLUBE DE ARACAJU,2,0.02
IBOTIRAMA,2,0.02
GRUPAMENTO AÉREO DA POLÍCIA MILITAR/ PRAIA GRANDE,2,0.02
GOVERNADOR LUCAS NOGUEIRA GARCEZ (SBLN*),2,0.02
AEROPORTO INTERNACIONAL AMÍLCAR CABRAL,2,0.02
GRUPO TÁTICO AÉREO,2,0.02
BANAER DE JACUPIRANGA,2,0.02
CARAZINHO,2,0.02
VIÇOSA,2,0.02
EMBRAER - UNIDADE GAVIÃO PEIXOTO,2,0.02
EIRUNEPÉ,2,0.02
BAIÃO,2,0.02
DR. JOSÉ DE ARRUDA BOTELHO,2,0.02
HIDRELÉTRICA DE ITUMBIARA,2,0.02
HELIPARK,2,0.02
GUARAPARI,2,0.02
AERODROMO DE PARAGOMINAS,2,0.02
GUAXUPÉ,2,0.02
GURGUÉIA,2,0.02
GURUPÁ,2,0.02
AGRÍCOLA RIO GALHÃO,2,0.02
AEROPORTO INTERNACIONAL DE ORLANDO,2,0.02
AEROCLUBE DE JOÃO PESSOA,2,0.02
GARIBALDI,2,0.02
WILMA REBELO,2,0.02
GAUDÊNCIO MACHADO RAMOS,2,0.02
ADOLFO SUÁREZ MADRIDBARAJAS AIRPORT,2,0.02
Francisco Beltrão,2,0.02
ÂNGELO PONZONI,2,0.02
FAZENDA PONTAL,2,0.02
DOLORES,2,0.02
AEROCLUBE DE ALAGOAS,2,0.02
BARCELOS,2,0.02
CEL PM CÍCERO DANTAS DOS SANTOS,2,0.02
FAZENDA PONTE SERRADA - MT,2,0.02
FAZENDA PRIMAVERA,2,0.02
APLIC AVIAÇÃO AGRÍCOLA LTDA,2,0.02
FAZENDA SANTA MÔNICA,2,0.02
