fabricante,qtde_ocorr,perc_ocorr
CESSNA AIRCRAFT,1337,13.62
EMBRAER,1155,11.76
NEIVA INDUSTRIA AERONAUTICA,993,10.11
BOEING COMPANY,779,7.93
AIRBUS INDUSTRIE,777,7.91
PIPER AIRCRAFT,602,6.13
BEECH AIRCRAFT,443,4.51
AEROSPATIALE AND ALENIA,439,4.47
***,402,4.09
AERO BOERO,310,3.16
ROBINSON HELICOPTER,229,2.33
SIKORSKY AIRCRAFT,187,1.9
AIRBUS S.A.S.,159,1.62
HELIBRAS,149,1.52
EUROCOPTER FRANCE,144,1.47
CIRRUS DESIGN,116,1.18
AIR TRACTOR,111,1.13
BELL HELICOPTER,98,1.0
FOKKER,86,0.88
RAYTHEON AIRCRAFT,82,0.84
AGUSTA,79,0.8
LEARJET,74,0.75
HAWKER BEECHCRAFT,69,0.7
BOEING,55,0.56
ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,44,0.45
CIA AERONAUTICA PAULISTA,41,0.42
MCDONNELL DOUGLAS,38,0.39
PILATUS,31,0.32
AEROMOT,30,0.31
DIAMOND AIRCRAFT,29,0.3
AIRBUS,27,0.28
MITSUBISHI,26,0.26
FLYER INDUSTRIA AERONAUTICA LTDA,26,0.26
FABRICANTE DESCONHECIDO,24,0.24
EUROCOPTER DEUTSCHLAND,20,0.2
TWIN COMMANDER,18,0.18
MAULE AIRCRAFT,16,0.16
DASSAULT AVIATION,16,0.16
XAVANTE,15,0.15
SOCATA,15,0.15
AEROBRAVO LTDA,15,0.15
THRUSH AIRCRAFT,14,0.14
MOONEY AIRCRAFT,14,0.14
LET AIRCRAFT INDUSTRIES,14,0.14
CHINCUL SACAIFI,14,0.14
YABORA INDUSTRIA AERONAUTICA S.A,13,0.13
INDÚSTRIA PARANAENSE DE ESTRUTURAS,13,0.13
ISRAEL AIRCRAFT,11,0.11
TEXTRON AVIATION,10,0.1
LAVIASA,10,0.1
EDRA INDUSTRIA AERONAUTICA LTDA,9,0.09
AIRBUS HELICOPTERS,9,0.09
SCHWEIZER,8,0.08
FABRICACAO PROPRIA,8,0.08
INPAER INDUSTRIA PAULISTA E AERONÁUTICA,7,0.07
BRITTEN-NORMAN,7,0.07
AIRBUS S.A.S,6,0.06
AMERICAN CHAMPION,5,0.05
NORTH AMERICAN,4,0.04
PZL-BIELSKO,4,0.04
TRIKE ICAROS LTDA,4,0.04
TECNAM CONSTRUZIONI AERONAUTICHE,4,0.04
PARADISE INDUSTRIA AERONAUTICA LTDA,4,0.04
GIE Avions de Transport Régional,4,0.04
PIAGGIO AERO INDUSTRIES,4,0.04
GULFSTREAM AEROSPACE,4,0.04
AIRCRAFT INDUSTRIES,4,0.04
MIL HELICOPTER,4,0.04
AYRES CORPORATION,4,0.04
Boeing Company,3,0.03
ULTRALEGER,3,0.03
VECTOR ULTRALIGHT INDUSTRIA E COMERCIO,3,0.03
ALBERTO BENEDITO PAULO IRALAH,3,0.03
ANDRE A.FERDINAND,3,0.03
AEROALCOOL TECNOLOGIA LTDA,3,0.03
UNIVAIR AIRCRAFT,2,0.02
PZL-SWIDNIK,2,0.02
MARCELO QUEIROZ DUARTE,2,0.02
TRIKE ICAROS IND. AERONAUTICA LTDA,2,0.02
TERRA AMBIENTAL E INCORPORADORA LTDA,2,0.02
TACILLO JACOB FROHLICH,2,0.02
STINSON AIRCRAFT,2,0.02
SK,2,0.02
RUPERT INDUSTRIA AERONAUTICA,2,0.02
ROBSON DIAS LIMA,2,0.02
PZL-OKECIE,2,0.02
ORION LTDA,2,0.02
MONTAER - MONTAGEM E MANUTENÇÃO AERONÁUTICA LTDA,2,0.02
MONTAER - MONTAGEM E MANUTENCAO AERONAUTICA LTDA,2,0.02
MONTAER,2,0.02
MELO TRANSPORTES E LOGISTICA LTDA,2,0.02
MD HELICOPTERS,2,0.02
MAURICIO WIECHMANN CATAI,2,0.02
PARTICULAR,2,0.02
EDRA AERONÁUTICA LTDA,2,0.02
MARCELO FERNANDES,2,0.02
ROCKWELL,2,0.02
LEONARDO S.P.A,2,0.02
ECLIPSE AEROSPACE,2,0.02
LEONARDO S.P.A.,2,0.02
JOSE ROBERTO BARBOSA,2,0.02
HENRIQUE HAMILTON CERQUEIRA SANTOS,2,0.02
HENRIQUE DRUMOND LIMA DE OLIVEIRA,2,0.02
GULFSTREAM,2,0.02
GUIMBAL,2,0.02
GROB,2,0.02
F.C. OLIVEIRA & CIA LTDA,2,0.02
ESC RIB PRET DE PIL VEIC AUTOPROPULSADO,2,0.02
DIEGO CÂMARA MORAIS,2,0.02
DENNIS E. MOELLMAN,2,0.02
CONSOLIDATED,2,0.02
CHS AMAZONAS IMP E EXP LTDA,2,0.02
BOMBARDIER,2,0.02
BEECHCRAFT,2,0.02
AVENOR AUGUSTO MONTANDON,2,0.02
AHD,2,0.02
AERO COMMANDER,2,0.02
DANILO JOSE BATTISTELLA,2,0.02
VANS AIRCRAFT,1,0.01
TRIKE ICAROS IND. AER. LTDA.,1,0.01
TRIKE ICAROS INDUSTRIA AERONAUTICA LTDA,1,0.01
VANS,1,0.01
WILLIAM DA SILVA MATIAS,1,0.01
VERA LUCIA NICIOLI,1,0.01
VINICIUS MARINI FERREIRA,1,0.01
TARSO GOROZEVSKI,1,0.01
construzioni Aeronautiche TECNAM Srl,1,0.01
TOMAS EDSON ANDRADE DA CUNHA,1,0.01
SPS TRADING IMP. E EXPORTADORA LTDA,1,0.01
SEAMAX AIRCRAFT LTDA,1,0.01
SUZANE MARI PIANA,1,0.01
STEMME,1,0.01
SCODA AERONÁUTICA,1,0.01
SONEX LTDA,1,0.01
SLICK AIRCRAFT COMPANY,1,0.01
SHEMPP-HIRTH FLUGZEUBAU,1,0.01
SERGIO MAURO,1,0.01
SERGIO LEMOS SOLHA,1,0.01
SEBASTIÃO DE PAULA DO NASCIMENTO,1,0.01
TEXTRON AVIATION INC,1,0.01
PAULO CESAR CASTRO MOURA,1,0.01
SAVIO PEDROTTI,1,0.01
SARI MARIANA COSTA GASPAR,1,0.01
SAFARI HELICOPTER CO. INTERNATIONAL,1,0.01
S.G. AVIATION,1,0.01
RUBENS ANTONIO AZEVEDO,1,0.01
RUBEM ROCHA SANTANA,1,0.01
ROMULO ARAUJO / HUGO FREIRE M JUNIOR,1,0.01
ROGERS THOMAS,1,0.01
ROGER AGNELLI,1,0.01
RODRIGO DE QUEIROZ R. COSTA,1,0.01
ROBERTO VENICIO LIMA DANTAS,1,0.01
ROBERTO KELLER,1,0.01
ROBERT MOHR,1,0.01
RICARDO VIEIRA DE QUEIROZ,1,0.01
REIMS AVIATION,1,0.01
QUEST AIRCRAFT,1,0.01
PZL - MIELEC,1,0.01
PRISCILA CABRAL FIGUEIREDO,1,0.01
POLISAT TRANSPORTE E ARMAZENS GERAIS LTD,1,0.01
PETROLIFT AVIA SVCS INC OF NC,1,0.01
PETRO JET SALES,1,0.01
PAULO R. M. MAIA,1,0.01
PARADISE INDUSTRIA AERONÁUTICA LTDA.,1,0.01
PATRICIA VIEIRA DE MELLO,1,0.01
KALIL MOHAMAD AWADA,1,0.01
PARADISE INDUSTRIA AERONÁUTICA LTDA,1,0.01
LAISTER-KAUFFMAN,1,0.01
NILSON SULZBACH PERES,1,0.01
NILSON ROBERTO YAMAÃAKE,1,0.01
NEIVA INDUSTRIA AERONÁUTICA LTDA,1,0.01
NAVION AIRCRAFT,1,0.01
NATURAL WATER IND. COM. LTDA ME,1,0.01
NATANAEL RIBEIRO CINTRA,1,0.01
