fase_op,qtde_ocorr,perc_ocorr
POUSO,1797,18.3
DECOLAGEM,1646,16.76
CRUZEIRO,1359,13.84
CORRIDA APÓS POUSO,951,9.69
SUBIDA,732,7.45
TÁXI,641,6.53
APROXIMAÇÃO FINAL,580,5.91
MANOBRA,336,3.42
DESCIDA,309,3.15
INDETERMINADA,268,2.73
OUTRA FASE,193,1.97
ESPECIALIZADA,185,1.88
CIRCUITO DE TRÁFEGO,181,1.84
ESTACIONAMENTO,117,1.19
VOO A BAIXA ALTURA,117,1.19
ARREMETIDA NO SOLO,70,0.71
OPERAÇÃO DE SOLO,61,0.62
ARREMETIDA NO AR,44,0.45
PARTIDA DO MOTOR,38,0.39
***,30,0.31
PAIRADO,28,0.29
RETA FINAL,27,0.27
MUDANÇA DE NÍVEL OU ALTITUDE,26,0.26
PROCEDIMENTO DE APROXIMAÇÃO IFR,20,0.2
DECOLAGEM VERTICAL,18,0.18
CHEQUE DE MOTOR OU ROTOR,14,0.14
PUSHBACK,9,0.09
SAÍDA IFR,8,0.08
ESPERA,8,0.08
DESCIDA DE EMERGÊNCIA,3,0.03
DESCIDA DESCONTROLADA,2,0.02
EMPREGO MILITAR,1,0.01
