modelo,qtde_ocorr,perc_ocorr
ATR-72-212A,309,3.15
AB-115,284,2.89
ERJ 190-200 IGW,280,2.85
737-8EH,274,2.79
EMB-810D,244,2.49
A320-214,215,2.19
EMB-810C,213,2.17
A320-251N,189,1.93
152,179,1.82
A320-232,168,1.71
EMB-202,161,1.64
***,148,1.51
EMB-201A,134,1.36
208B,123,1.25
58,122,1.24
EMB-202A,116,1.18
AS 350 B2,114,1.16
S-76C,111,1.13
A188B,106,1.08
SR22,97,0.99
R44 II,95,0.97
PA-34-220T,92,0.94
A319-132,89,0.91
737-8 MAX,85,0.87
F28MK0100,83,0.85
210L,76,0.77
EMB-712,74,0.75
ERJ 190-400,64,0.65
182P,63,0.64
EMB-720D,61,0.62
ERJ 190-100 IGW,60,0.61
PA-25-235,55,0.56
EMB-711C,55,0.56
RV-10,54,0.55
EMB-711ST,54,0.55
PA-34-200,51,0.52
EMB-201,47,0.48
C90A,47,0.48
R44,46,0.47
AT-502B,46,0.47
A36,46,0.47
A321-231,46,0.47
ERJ 190-200 LR,45,0.46
R22 BETA,44,0.45
206B,44,0.45
EMB-820C NAVAJO,43,0.44
EMB-500,43,0.44
ATR-42-320,43,0.44
56-C,43,0.44
ATR-42-500,42,0.43
CAP-4,41,0.42
A321-211,41,0.42
95-B55,39,0.4
737-76N,39,0.4
EMB-720C,38,0.39
PA-31,34,0.35
EMB-120ER,34,0.35
ATR-42-300,34,0.35
AS 350 B3,34,0.35
S-92A,33,0.34
R22,33,0.34
EMB-110P1,33,0.34
S-76A,32,0.33
EMB-820C CARAJA,32,0.33
EMB-721C,31,0.32
PA-28-140,31,0.32
AW139,31,0.32
PA-28R-200,31,0.32
172S,31,0.32
ATR-72-212A (600),30,0.31
56-C-1,30,0.31
210N,30,0.31
G58,29,0.3
35A,29,0.3
A330-223,27,0.28
PA-34-200T,26,0.26
A321-251NX,26,0.26
PA-46-350P,26,0.26
150J,26,0.26
AB-180,26,0.26
U206F,26,0.26
400A,26,0.26
PA-31T,24,0.24
MODELO DESCONHECIDO,24,0.24
A320-253N,23,0.23
A109E,23,0.23
B200,22,0.22
737-341,22,0.22
727-2M7,22,0.22
310Q,22,0.22
HB-350B,22,0.22
C90,22,0.22
550,21,0.21
PA-25-260,21,0.21
560XL,21,0.21
407,21,0.21
170A,21,0.21
525,21,0.21
PA-31T1,20,0.2
EMB-710C,20,0.2
CONQUEST 180,20,0.2
AT-402B,20,0.2
ADVENTURE,20,0.2
V35B,19,0.19
SR20,19,0.19
EMB-505,19,0.19
C90GTI,19,0.19
A320-231,19,0.19
EMB-203,18,0.18
DA20-C1,18,0.18
AS 350 BA,18,0.18
510,18,0.18
PA-18,17,0.17
L410UVP-E20,17,0.17
F33A,17,0.17
EMB-721D,17,0.17
EC 130 B4,17,0.17
EC 120 B,17,0.17
A319-115,17,0.17
525A,17,0.17
310R,17,0.17
172M,17,0.17
150M,17,0.17
150L,17,0.17
MD-11,16,0.16
ERJ 190-100 LR,16,0.16
EC 155 B1,16,0.16
T188C,15,0.15
EMB-711T,15,0.15
EMB-711B,15,0.15
BRAVO 700,15,0.15
777-32WER,15,0.15
45,15,0.15
EC 225 LP,14,0.14
T206H,14,0.14
PA-32R-301T,14,0.14
PA-30,14,0.14
A320-271N,14,0.14
727-264,14,0.14
390,14,0.14
172N,14,0.14
737-322,14,0.14
ATR-72-202,13,0.13
U206G,13,0.13
S-61N,13,0.13
PA-46R-350T,13,0.13
PA-42,13,0.13
B300,13,0.13
650,13,0.13
RV-9A,13,0.13
A-122-B,13,0.13
767-316F,13,0.13
737-48E,13,0.13
402B,13,0.13
AMT-600,13,0.13
ERJ 170-200 LR,12,0.12
T210N,12,0.12
PELICAN 500BR,12,0.12
PC-12/47E,12,0.12
PA-46-500TP,12,0.12
MU-2B-60,12,0.12
F90,12,0.12
172RG,12,0.12
R66,12,0.12
AS 355 N,12,0.12
A318-122,12,0.12
737-33A,12,0.12
525B,12,0.12
208,12,0.12
EMB-110,12,0.12
R182,11,0.11
G36,11,0.11
E55,11,0.11
ATR-72-212,11,0.11
AS 365 N3,11,0.11
A330-243,11,0.11
A320-273N,11,0.11
A319-112,11,0.11
727-243,11,0.11
737-7EH,10,0.1
TBM700N,10,0.1
T210L,10,0.1
T182T,10,0.1
PA-32R-301,10,0.1
B200GT,10,0.1
AT-402A,10,0.1
737-3K9,10,0.1
AT-401B,10,0.1
737-248C,10,0.1
727-225,10,0.1
212,10,0.1
208 ANFIBIO,10,0.1
200,10,0.1
737-7BX,10,0.1
727-214F,9,0.09
SUPER PETREL LS,9,0.09
C90GT,9,0.09
B90,9,0.09
AT-802,9,0.09
680,9,0.09
31A,9,0.09
210M,9,0.09
A109S,9,0.09
AW119MKII,8,0.08
S2R-H80,8,0.08
EXPLORER,8,0.08
PA-28-180,8,0.08
PA-28R-201T,8,0.08
PA-36-375,8,0.08
PA-31T2,8,0.08
PA-42-720,8,0.08
PA-31-350,8,0.08
EMB-121A1,8,0.08
737-8HX,8,0.08
269C-1,8,0.08
A318-121,8,0.08
172A,8,0.08
206L-4,8,0.08
182N,8,0.08
737-241,8,0.08
737-3Y0,8,0.08
737-4Y0,8,0.08
AS 355 F2,8,0.08
KW1,7,0.07
RV-7A,7,0.07
PARADISE P-1,7,0.07
PARADISE I,7,0.07
PA-28R-201,7,0.07
PA-28-161,7,0.07
MU-2B-36A,7,0.07
BAE125-800B,7,0.07
PA-23-250,7,0.07
DA 62,7,0.07
767-316,7,0.07
737-86N,7,0.07
172R,7,0.07
172G,7,0.07
EMB-145ER,7,0.07
MONTAER MC01,6,0.06
AMT-100,6,0.06
PC-12/45,6,0.06
PA-28-235,6,0.06
IPE-02B,6,0.06
FOX II,6,0.06
AB139,6,0.06
ERJ 190-200LR,6,0.06
EC 135P2+,6,0.06
DC-10-30F,6,0.06
AW109SP,6,0.06
