og_voo,qtde_ocorr,perc_ocorr
FORA DE AERODROMO,4141,42.18
GOVERNADOR ANDRÉ FRANCO MONTORO,248,2.53
VIRACOPOS,235,2.39
NÃO IDENTIFICADO,234,2.38
CONGONHAS,188,1.91
CAMPO DE MARTE - SP,151,1.54
PRESIDENTE JUSCELINO KUBITSCHEK,149,1.52
SALGADO FILHO,120,1.22
SANTOS DUMONT,108,1.1
SANTA GENOVEVA/GOIÂNIA,108,1.1
DEPUTADO LUÍS EDUARDO MAGALHÃES,99,1.01
GUARARAPES - GILBERTO FREYRE,96,0.98
CARLOS DRUMMOND DE ANDRADE / PAMPULHA,92,0.94
TANCREDO NEVES,87,0.89
EDUARDO GOMES,77,0.78
Comandante Rolim Adolfo Amaro,76,0.77
ANTONIO CARLOS JOBIM / GALEÃO,75,0.76
MARECHAL RONDON,72,0.73
VAL DE CANS / JÚLIO CEZAR RIBEIRO,69,0.7
GOVERNADOR JOSÉ RICHA,64,0.65
BACACHERI,63,0.64
JACAREPAGUÁ,62,0.63
PINTO MARTINS,62,0.63
HERCÍLIO LUZ,58,0.59
AFONSO PENA,56,0.57
AERÓDROMO NACIONAL DE AVIAÇÃO,54,0.55
AERÓDROMO NÃO CADASTRADO,52,0.53
ESTADUAL ARTHUR SIQUEIRA,50,0.51
SÍLVIO NAME JÚNIOR,43,0.44
ÁREA DE POUSO PARA USO AEROAGRÍCOLA,43,0.44
LEITE LOPES,40,0.41
TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,38,0.39
PROFESSOR URBANO ERNESTO STUMPF,36,0.37
CARLOS PRATES,35,0.36
EURICO DE AGUIAR SALLES,34,0.35
CAMPO GRANDE,32,0.33
MINISTRO VICTOR KONDER,30,0.31
PROFESSOR ERIBERTO MANOEL REINO,30,0.31
SOROCABA,29,0.3
AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,26,0.26
FLORES,25,0.25
PARÁ DE MINAS,25,0.25
ZUMBI DOS PALMARES,24,0.24
BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,23,0.23
COSTA ESMERALDA,22,0.22
SANTA MARIA,21,0.21
BRIGADEIRO LYSIAS RODRIGUES,20,0.2
MACAÉ,20,0.2
MARECHAL CUNHA MACHADO,20,0.2
BAURU,20,0.2
GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,19,0.19
BLUMENAU,19,0.19
PRESIDENTE CASTRO PINTO,19,0.19
SENADOR PETRÔNIO PORTELLA,18,0.18
MAESTRO WILSON FONSECA,18,0.18
CATARATAS,18,0.18
ANÁPOLIS,17,0.17
PORTO SEGURO,17,0.17
ATLAS BRASIL CANTANHEDE,17,0.17
14 BIS,17,0.17
COMANDANTE ANTONIO AMILTON BERALDO,16,0.16
FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME,16,0.16
LAURO CARNEIRO DE LOYOLA,15,0.15
JOÃO MONTEIRO,15,0.15
FRANCISCO DE ASSIS,15,0.15
ESTÂNCIA SANTA MARIA,15,0.15
POUSO DA ÁGUIA,14,0.14
ALBERTO ALCOLUMBRE,13,0.13
RONDONÓPOLIS,13,0.13
BRIGADEIRO ARARIPE MACEDO,13,0.13
PEDRO MORGANTI,13,0.13
AEROCLUBE DE SANTA CATARINA,13,0.13
AMERICANA,13,0.13
SERAFIN ENOSS BERTASO,12,0.12
GOVERNADOR ALUÍZIO ALVES,12,0.12
ITAITUBA,12,0.12
AEROCLUBE DE ELDORADO DO SUL,12,0.12
